file,источник,position,head_lexical_class,gen_lexical_class,gen_length,gen_referentiality,gender,head,gen,line,Right context,comment
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,kinship,kinship,multi-word,definite,m,жена,брата,Она была у нас старшего… самого старшего брата / жена.,,
"[Домашний разговор // Из коллекции НКРЯ, 2005]",домашний разговор-new,left,kinship,proper_human,multi-word,definite,,племянница,Коли,А / по-моему / второго сына не было и жены его не было.   Этого / Коли Павлова племянница.   Я ее знаю хорошо.,,
"[О поступлении в вузы // Из материалов Ульяновского университета, 2006]",домашний разговор-old,left,kinship,proper_human,multi-word,definite,,сын,Руфии Амировны,И вот Газаятдинов / ты знаешь / нет Руфии Амировны сына?,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,left,non_kinship,proper_human,multi-word,definite,m,вечер,Феофанны,"Садимся / за стол / встаёт / Михал Михалч Климов  / и говорит ""дорогие друзья / я очень рад что вы пришли ко мне / разделить мой / и Лизаветы Феофанны / это его жена Скульская / значит наш вечер /  э-э… я хочу выпить за ваше здоровье"".",,просторечие
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,left,kinship,kinship,one-word,definite,m,сестра,мужа,"Ну а нет / дак что ж"".       У нас-то вот / мужа сестра.      И хлобыснул эту всю кружку / а мы сидим на него смотрим.",,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,kinship,kinship,one-word,definite,f,отец,дедушки,Вот дедушкин отец / мне говорил / отец / мой / что дедушки отец / был дьяконом.,,
"[Разговор матери с дочерью о родственниках // Из коллекции НКРЯ, 2007]",домашний разговор-new,left,kinship,proper_human,one-word,definite,,двоюродный брат,Вована,Я там солью / это самое / перец немножко / ну что-то можно было съедобное чё-то / пахло.      А что / невкусно / если без чеснока?      Ну я не знаю / она додумала / наверно / я не так… так не делала / я так и ела / вроде бы / знаешь у кого ела в первый раз / в Первомайске / э… Вована двоюродный брат / братишка / такая ну… Валька же… жена.,,
"[Домашний разговор // Из коллекции НКРЯ, 2005]",домашний разговор-new,left,kinship,proper_human,one-word,definite,,жена,Женьки,А вот этого я не знаю.   Наверно / одна / без детей / наверно.   Потому что была эта / как ее / Женьки жена.,,
"[Разговор матери с дочерью по телефону // Из коллекции НКРЯ, 2015]",домашний разговор-old,left,kinship,proper_human,one-word,definite,f,дочка,Выборнова,А мы потом пошли все.   Ну там пели девчонки.   Хорошо поёт Выборнова дочка так.,,
"[В медпункте // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,,,Игоря,Не знаю / Игоря учительница / по физике / она мне говорит / покажите Игоря психологу / чем а раньше тем лучше Мы с Ленкой идём / разговариваем // Я ёй говорю мне так и так сказали / она мне грит пусть она сама к си… к психологу обратиться // грит нормальный ребёнок //,,
"[Домашние разговоры // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,m,,Игоря,Я видел… как аккуратно //  А где Игоря справка?,,
2019-Zvenigorod-om1973,звенигород,left,non_kinship,human_other,multi-word,non_definite,известно,фотографии,девушек красивых,Потом у нас Краснов любил,там красивых поставить фотографии.,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,non_kinship,non_human,multi-word,non_definite,m,люди,ума,И я / за всю свою практику / вот всё время / сталкиваюсь с массой таких вот историй / как люди гибнут / причём великолепные / светлейшей вообще / души / и ума / люди.,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,left,non_kinship,non_human,multi-word,non_definite,f,симфонии,плана,Первую Бетховена / ну это всё такие более камерного плана симфонии / вот мы с ними играли.,,
2019-Zvenigorod-oa1975,звенигород,left,non_kinship,non_human,multi-word,non_definite,известно,стены,такого бордового цвета,Такого бордового,"стены там, чёрная мебель, вот такие люстры дорогие, вот примерно она рисовала, вот где как что стоит.",
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,left,non_kinship,non_human,one-word,non_definite,f,музей,почтамта,Музей / почтамта у них есть музей там.,,
"[Разговор знакомых  // Из материалов Ульяновского университета, 2007]",домашний разговор-old,left,non_kinship,non_human,one-word,non_definite,f,кальций,глюконата,А я потом вприпрыжку побежала / побежала в аптеку / купила там таблетки рыбьего жира и кальция глюконата.,,
"[О компьютере // Из материалов Ульяновского университета, 2006]",домашний разговор-old,left,non_kinship,non_human,multi-word,non_definite,,драйвер,платы,Вот  сетевой платы / зайди в драйвер / что он пишет?,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,left,non_kinship,proper_human,one-word,definite,f,,Шумана,Шуберта играли.   Шумана даже четвёртую симфонию играли.   Ну вот.,,
"[Воспоминания о прошлом А. Серова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,human_other,multi-word,definite,m,дети,короля,он посмотрел всё это / мне Юра  / снял ксерокс / это не… только не то чтобы же… а раньше ещё / снял ксерокс / и мы послали / туда вот в Америку / м-м потому что в ихней семье / ещё есть / такая легенда / что они /  незаконные дети шведского короля.,,
"[Воспоминания о прошлом М. Миртова // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,kinship,human_other,multi-word,definite,m,внучка,основательницы,Короче говоря / м-м э с… самое смешное / что я потом подружилась / училась вместе / это моя была близкая подруга / м-м… внучка этой вот / основательницы,,просторечие
"[Беседа с массажисткой // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,kinship,human_other,multi-word,definite,f,родоначальница,детишек,Я говорю / «Да!»   Я родоначальница этих детишек.   Ну вот.,,
2019-Zvenigorod-om1973,звенигород,right,kinship,human_other,multi-word,definite,известно,дочка,начальника отдела ,Дочка,отдела.,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,письмо,учителей,Ну и я помню последнее было решение о сносе / вот по / письму вот этих учителей / уже когда восстановили / м-м… э-э… весь объём уже восстановили / и оставались /,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,глаза,женщины,У него / вс… весь комизм / состоит / в том / что он передаёт э… это как бы глазами этой женщины.,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,human_other,multi-word,definite,f,глаза,женщины,Э… это вот р… рассказ Райкина / вот с-с… как бы с обратной съёмки / всё гл… глазами этой женщины.,,
"[Телефонный разговор подруг о съемках фильма // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,human_other,multi-word,definite,f,мир,вампиров,а девушки/ я так поняла/ мы одно семейство вот аа потустороннею… из потустороннего мира вот этих вот вампиров.,,
"[Разговоры студентов о досуге // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,human_other,multi-word,definite,,черта,детишек,Хорошо скрывать истину – тоже типичная черта детишек-индиго?,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,human_other,multi-word,definite,,дом,друзей,Он был по обмену в доме ее друзей.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,m,жених,дочери,Оказывается / у него / дочь / накануне / на свадьбе / её / сорок / ножевых ран нанёс / её муж / жених / его дочери / и сам зарезался.,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,kinship,kinship,multi-word,definite,f,сыновья,деда,То есть / женатые сыновья моего деда / жили.,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,m,мать,свекрови,Ещё / мать / э-э моей свекрови / была крепостная.,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,m,мачеха,отца,уже своей /  четвёртой жене / мачехе моего отца… э-э…,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,m,муж,сестры,Я её испытывала на / друзьях-французах / не говоря о муже сестры моей / который говорил?,,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,f,папа,дедушки,вот этого / моего дедушки / они / были во Владимирском проезде церквушка / он там служил.,,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,f,отец,мужа,Ну такой вот петербургский / в общем интеллигентский трен жизни  / и всё прочее и прочее / И / дедушка / м… то есть / ну буду говорить отец / моего мужа значит /,,
"[Воспоминания о прошлом Т. Ивановой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,kinship,kinship,multi-word,definite,f,отец,мамы,Это уже у… у… у отца / вашей / мамы / была / вот эта с… своя уже… транспортное дело было когда / да?,,
"[Телефонные разговоры // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М.: ИРЯ РАН, 1999, 1991-2002]",домашний разговор-old,right,kinship,kinship,multi-word,definite,,,сына,До завтра.   Угу.  Спокойной ночи.   И вам.  А. звонит сыну по телефону; трубку снимает жена сына Б.,,
2019-Zvenigorod-om1973,звенигород,right,kinship,kinship,multi-word,definite,известно,,моего супруга,папа моего,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,kinship,multi-word,definite,m,семья,отца,Значит / м-м семья деда / серёжиного / то есть отца / вот э-э…,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,kinship,multi-word,definite,f,фотографии,детей,"А-а когда ещё мы были в нашем дворе / кто-то из соседей сказал моей маме / ""Софья Яковлевна / вот тут стоит ящик / где фотографии ваших детей"".",,
"[О компьютерной игре // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,kinship,multi-word,definite,,,матери,И скромностью природной!   Он забрал жизнь матери Рэйн.   Осиротевшая девочка нашла прибежище в бродячем цирке…,,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,kinship,multi-word,definite,известно,,моего сына,"генефонд, скажем так, моего",,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,kinship,multi-word,definite,известно,,наших родителей,"Потому что, например вот, во времена наших","вот, поздние роды - это смотрели как на неадекватных таких женщин",
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,здание,академии,Ну одним словом построено здание военной академии.,,
"[Воспоминания о прошлом Б. Голубовского // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,конец,акта,Потом он уходит со сцены / перегримировывается / значит э опять выходит на сцену / а к концу первого акта / мы видим что он уже /  чего-то принял.,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,солдаты,штаба,"Аркашенька / ты не знаешь чт… про трёх э… солдат / ген… французского генерального штаба? """,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,суд,Российской Федерации,Ве…   Верховного… суда / Российской Федерации / где новое /       Угу / угу.,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,суд,Российской Федерации,Верховный суд / Российской Федерации / вот это вот туда.,,
"[Воспоминания о прошлом З. Паперного // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,солдаты,штаба,"Говорит ""Аркашенька / а ты говорит знаешь / э-э три / солдата / э-э французского генерального штаба?",,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,угол,улицы,а вот мы жили напротив / там / угол / улицы Луначарского / и улицы Веснина / там / на углу стоит дом где жил Луначарский / где у него был кабинет /,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,центр,Союза,Да.   Москва / была / центром / Советского Союза.   Так?,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,угол,Плющихи и Девичьего поля,Дом на Девичьем поле / это на Плю… угол Плющихи и Девичьего поля / снесён.,,
"[Воспоминания о прошлом Н. Артюховой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1988]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,угол,Плющихи и Девичьего поля,э… после пожара / мы должны были / как раз в этом году / э переехать э на / угол Плющихи / и Девичьего поля / дом / на углу был.,,
"[Воспоминания о прошлом Н. Ильиной // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,судьба,фронта,Они решают важные судьбы / очевидно судьба второго фронта / говорю а вы тут занимаетесь кому… никаким… никому не нужным делом.,,
"[Воспоминания о прошлом Н. Ильиной // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1989]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,судьба,домов,Странная судьба домов / в которых я жил в Москве.,,
"[Воспоминания о прошлом Н. Кочаровой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,купец,гильдии,А-а / у моего папы / дедушка был / отец его был / купец первой гильдии.,,
"[Воспоминания о прошлом Н. Тараторина // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1993]",воспоминания,right,non_kinship,non_human,multi-word,definite,m,май,Года,"Какой год / не знаю.       ""Шестого мая / тринадцатого года"".      Года / да?",,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,переводы,романа,"А я как-то приезжаю / у неё / на полу лежат / переводы / французский / английский / ""Театрального романа"".",,
"[Воспоминания о прошлом Н. Ушковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,подвал,дома,И значит она вот / тоже по этой лестнице / перебиралась / и туда / но ей помогали конечно / э… и там на чём-то спускали свою э… значит э-э… э-э… в соседний дом / и в подвал соседнего дома.,,
"[Воспоминания о прошлом Р. Мочаловой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1995]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,война,года,Когда получил дворянство / м-м значит майор Киселёв Семён Иванович / в двенадцатом году / по… в тринадцатом году погибший.   Как герой / войны двенадцатого года.   Он получил дворянство.,,
"[Воспоминания о прошлом Т. Винокур и Н. Ушаковой // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М., 1999, 1991]",воспоминания,right,non_kinship,non_human,multi-word,definite,f,революция,года,Я была / когда произошла / революция семнадцатого года / я кончала гимназию.,,
"[Телефонный разговор подруг о съемках фильма // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,годы,века,Это аа стиль двадцатых годов двадцатого века.,,
"[О прыжках с парашютом // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,здание,времен,Знаешь / заходишь в здание.   Здание ленинских времен / ну / музей просто.   Идешь / идешь / тишина.,,
"[Разговоры дома // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М.: ИРЯ РАН, 1999, 1975]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,приметы,времени,"Запись 1975 г., содержит приметы времени ""товарного дефицита""",,
"[Планирование встречи // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,план,действий,вот.      Мне нравится план наших действий.       Надо подумать/ если… если вдруг чё-то ещё в голову придёт/ тогда…,,
"[Разговор студенток о зимних развлечениях // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,тонкости,дела,Я не умею кататься / поэтому я / к сожалению / не знаю всех тонкостей этого дела.,,
"[Разговоры дома // М. В. Китайгородская, Н. Н. Розанова. Речь москвичей: Коммуникативно-культурологический аспект. М.: ИРЯ РАН, 1999, 1975]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,время,дефицита,"Запись 1975 г., содержит приметы времени ""товарного дефицита""",,
"[Обсуждение реалити-шоу «Дом-2» // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,сцена,Дома,Но Степан похоже может быть только клоуном / подходящим только для сцены «Дома-2».,,
"[Разговор студентки с приятельницей // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,вершина,дома,Угу.    В вершине дома твоего.      Я что-то хотела сказать… Короче / я не знаю / как вот в деревнях вот оно стоит же / оно ж надо ж куда-то выкидываться / оно..?,,
"[Разговор дочери с матерью о здоровье // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,краюшек,дороги,Мы так вот грибы собирали/ такой пря… не в самой Терентьевке/ а вот так по краюшку Можайской дороги.,,
"[Разговор знакомых  // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,ассортимент,духов,Они ушли / а я вот посмотрела на ассортимент этих духов / ну и купила одни.,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,территория,завода,Знаешь / я думаю / что проектируемая территория в данном случае / это территория газового завода / потому что вот я не буду строить макет вот на всю вот эту территорию.,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,сцена,зала,Это вcё-таки ближе к такой чистой эстраде / и на сцене Большого зала / ты понимаешь / это не слушается / и не смотрится.,,
"[Разговор в столовой // Из коллекции НКРЯ, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,список,команды,Так / мне нужен Сашин телефон / щас / Ян / подожди секунду.   Так / вот список команды нашей.   Продиктуй / пожалуйста….,,
"[Разговор студентки с приятельницей // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,заказы,комплекта,Ну.      Это были заказы «Витраж-комплекта».   То есть наша компания заказывала же витражи у нас / чтобы на выставку.,,
"[Домашние разговоры // Из коллекции НКРЯ, 2006]",домашний разговор-new,right,non_kinship,non_human,multi-word,definite,,опушка,леса,У нас на опушке голубые… на опушке соснового леса напротив / а это вот будут беленькие…,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,тома,Войны и мира,Игос / единственный человек / который знает наизусть все тома «Войны и мира» / не читав их.,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,карты,неба,#перебивая# а потом кто-то… кто-то вернулся из Мексики / сказал что это всё фуфло #со смехом# // что очень много наскальных росписей / в виде карты звёздного неба // он там увидел //,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,карты,неба,тоже хорошо // но потом возобладал более научный подход /  карты звёздного неба //,,
"[Разговоры студенток // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,фотка,Нью-Йорка,А у меня есть фотка Нью-Йорка ночного.,,
"[Разговор по телефону с приятелем // Из коллекции НКРЯ, 2009]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,конец,области,Где-нидь/ я не знаю/ там это…   Либо это конец Московской области.      А!,,
"[Разговор по телефону с приятелем // Из коллекции НКРЯ, 2009]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,конец,области,Либо это в конце Московской области/ либо в начале какой-нибудь Тульской области там/ я не знаю.,,
"[Разговор девушек об изучении языков // Из коллекции Ульяновского университета, 2009]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,задания,олимпиады,Там… эээ… было аудирование / тест и еще что-то / и / в общем / по итогам этих вот заданий этой олимпиады она / в общем / какое-то место заняла / и она год жила… эээ… в американской семье / воот.,,
"[Беседа с массажисткой // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,рецепт,пирожочков,Нет / нет / это случайно совпало / что когда я сидела с тетей Катей / потому что мы считали / что рецепт утерян слоеных маленьких пирожочков / вот / а она делает прямо один в один.,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,f,реальность,потолка,А ещё он придумал протоплазменную проекцию ручки на метаэквивалитэрную квазипотенциальную реальность этого потолка.,,
"[Прогулка по городу // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,аккорд,работы,И Новая Голландия была завершающим аккордом этой курсовой работы /,,
"[Праздные разговоры  // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,киоск,сборной,Там был / короче / этот киоск олимпийской сборной что ли…,,
"[Бытовой разговор // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,реклама,Сименса,Знаете / все они связали всю… весь рекламный стиль с этой… с рекламой этого Сименса.,,
"[Разговор в семье студентов об учебе // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,значение,слова,Не русские люди / они не… Они отказывались понимать значение слова «накрячкался»,,
"[О зимней олимпиаде // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,смысл,спорта,Канадки играют / как мужики / американки играют / как мужики / все остальные играют / как женщины.   Смысл этого спорта я не понимаю!      Ну поставили / что же сделаешь?!,,
"[Разговоры в университете // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,суть,темы,А суть моей темы и так уже понятна.,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,multi-word,definite,,макет,территории,Выполнение рабочего макета проектируемой территории одной к тысяче!,,
